Age_Group,City,Income_Range,Top_Speed_kmh,Range_km,Price_INR,Company_Model,Preference
middle-aged,Kolkata,70k-90k,53,61,185294,Royal Enfield,1
young,Kolkata,50k-70k,63,106,58855,Kawasaki,0
old,Pune,90k-110k,60,77,67664,Hero,0
middle-aged,Ahmedabad,70k-90k,59,123,149682,Kawasaki,0
old,Delhi,90k-110k,57,111,127551,Yamaha,1
old,Pune,90k-110k,47,59,187953,Bajaj,0
young,Pune,70k-90k,77,112,58691,Royal Enfield,1
old,Hyderabad,50k-70k,35,53,198368,Kawasaki,0
young,Bangalore,30k-50k,75,126,160348,Hero,0
old,Delhi,30k-50k,51,86,183931,KTM,1
middle-aged,Delhi,70k-90k,42,110,122858,KTM,1
old,Hyderabad,30k-50k,38,98,70855,Kawasaki,0
young,Bangalore,90k-110k,62,76,188338,Royal Enfield,0
young,Chennai,50k-70k,53,60,160518,Kawasaki,1
middle-aged,Pune,70k-90k,70,111,102466,Bajaj,0
old,Kolkata,90k-110k,58,102,161928,Yamaha,1
old,Ahmedabad,90k-110k,46,100,170417,TVS,0
middle-aged,Mumbai,50k-70k,67,64,145334,Honda,0
old,Ahmedabad,50k-70k,44,110,198607,Honda,0
old,Pune,30k-50k,56,89,55539,Hero,1
young,Mumbai,50k-70k,40,110,62344,Yamaha,0
old,Bangalore,70k-90k,46,104,127661,Yamaha,0
old,Ahmedabad,70k-90k,66,77,130373,Mahindra,1
middle-aged,Mumbai,50k-70k,60,114,73086,Suzuki,1
middle-aged,Chennai,50k-70k,38,104,47285,Hero,0
young,Delhi,90k-110k,71,105,152730,Kawasaki,0
old,Kolkata,70k-90k,47,60,107294,Hero,1
old,Mumbai,30k-50k,74,125,92075,Honda,0
old,Mumbai,90k-110k,46,102,134925,TVS,1
young,Ahmedabad,90k-110k,55,117,182928,Honda,1
young,Bangalore,30k-50k,37,116,193962,Mahindra,1
middle-aged,Bangalore,30k-50k,68,78,106257,Royal Enfield,0
young,Hyderabad,50k-70k,36,76,101705,Royal Enfield,1
old,Delhi,50k-70k,43,69,188867,Mahindra,0
old,Kolkata,90k-110k,52,62,173753,Kawasaki,1
young,Hyderabad,70k-90k,57,92,196645,Bajaj,1
old,Hyderabad,70k-90k,73,58,62402,Yamaha,1
old,Mumbai,90k-110k,40,79,172156,TVS,1
young,Delhi,70k-90k,78,71,163289,Royal Enfield,0
young,Ahmedabad,70k-90k,78,61,55319,Yamaha,0
old,Ahmedabad,30k-50k,59,96,184749,Kawasaki,1
old,Ahmedabad,50k-70k,41,64,133743,KTM,1
old,Kolkata,50k-70k,41,89,77012,Yamaha,0
middle-aged,Delhi,90k-110k,48,85,65605,Bajaj,1
middle-aged,Mumbai,30k-50k,68,62,118255,Kawasaki,1
middle-aged,Ahmedabad,70k-90k,67,96,189417,Mahindra,0
young,Bangalore,90k-110k,66,69,82546,Honda,1
middle-aged,Bangalore,90k-110k,55,56,179091,Honda,0
young,Bangalore,70k-90k,46,103,45379,TVS,0
young,Chennai,50k-70k,55,115,45541,Honda,0
middle-aged,Delhi,70k-90k,43,125,121994,Kawasaki,0
middle-aged,Ahmedabad,90k-110k,69,67,94934,KTM,1
middle-aged,Mumbai,50k-70k,44,61,97450,Suzuki,0
old,Delhi,90k-110k,57,58,92926,Yamaha,1
middle-aged,Bangalore,30k-50k,61,59,162972,Honda,0
old,Pune,50k-70k,44,72,120448,Yamaha,0
young,Pune,90k-110k,71,74,136038,Suzuki,1
old,Ahmedabad,90k-110k,48,55,121442,Suzuki,1
middle-aged,Delhi,30k-50k,56,124,90389,Honda,0
young,Ahmedabad,70k-90k,67,100,71472,Bajaj,0
young,Kolkata,50k-70k,37,106,156143,TVS,0
young,Pune,90k-110k,65,117,58481,Mahindra,0
old,Pune,90k-110k,50,69,70708,Kawasaki,1
middle-aged,Delhi,90k-110k,62,115,51310,Kawasaki,1
young,Hyderabad,90k-110k,76,92,189364,Mahindra,0
young,Chennai,70k-90k,73,102,161897,Honda,0
young,Chennai,70k-90k,47,118,121707,Hero,0
old,Bangalore,70k-90k,53,96,67525,KTM,1
old,Ahmedabad,50k-70k,76,101,103846,Mahindra,0
middle-aged,Mumbai,70k-90k,67,104,167791,Honda,1
old,Hyderabad,50k-70k,73,84,107755,KTM,1
young,Ahmedabad,70k-90k,70,122,125238,Suzuki,1
middle-aged,Kolkata,90k-110k,75,108,79135,Honda,1
young,Ahmedabad,30k-50k,59,76,132553,Bajaj,1
young,Hyderabad,50k-70k,73,98,73882,KTM,0
old,Ahmedabad,30k-50k,68,94,177692,Mahindra,1
middle-aged,Mumbai,30k-50k,48,110,97014,Royal Enfield,0
old,Mumbai,90k-110k,56,96,79524,Yamaha,0
old,Kolkata,90k-110k,45,97,157012,Royal Enfield,0
middle-aged,Chennai,50k-70k,58,114,67241,Honda,1
young,Hyderabad,50k-70k,62,103,100697,Hero,0
young,Ahmedabad,50k-70k,77,90,64566,Bajaj,0
middle-aged,Pune,70k-90k,68,127,86865,Hero,1
young,Bangalore,70k-90k,42,98,56856,Bajaj,1
middle-aged,Delhi,30k-50k,64,119,167199,Hero,0
middle-aged,Chennai,50k-70k,68,52,57231,KTM,0
old,Bangalore,30k-50k,77,62,172701,Honda,1
middle-aged,Pune,70k-90k,78,78,117366,Mahindra,0
old,Chennai,30k-50k,51,55,162017,Mahindra,1
young,Hyderabad,30k-50k,40,127,83267,Mahindra,1
young,Kolkata,50k-70k,61,82,86942,Royal Enfield,1
young,Mumbai,50k-70k,43,77,108800,Suzuki,1
young,Kolkata,30k-50k,42,115,138937,Mahindra,0
old,Pune,70k-90k,39,90,179604,Mahindra,0
young,Delhi,30k-50k,42,81,184070,Royal Enfield,0
middle-aged,Ahmedabad,70k-90k,55,114,180606,TVS,0
middle-aged,Kolkata,30k-50k,64,106,47650,Royal Enfield,0
middle-aged,Pune,30k-50k,39,74,66076,TVS,0
old,Mumbai,50k-70k,45,78,47770,KTM,0
young,Chennai,30k-50k,66,105,161907,Honda,1
young,Bangalore,70k-90k,76,88,112122,KTM,1
young,Pune,30k-50k,59,85,113603,Bajaj,0
old,Pune,30k-50k,42,88,108994,Mahindra,0
middle-aged,Hyderabad,70k-90k,50,53,109908,Suzuki,0
middle-aged,Delhi,30k-50k,48,60,101836,Yamaha,0
young,Chennai,30k-50k,62,64,66369,Kawasaki,1
middle-aged,Pune,30k-50k,66,103,100321,Royal Enfield,0
middle-aged,Pune,30k-50k,71,117,114793,KTM,1
old,Bangalore,70k-90k,51,83,104032,KTM,1
old,Ahmedabad,90k-110k,52,72,92784,Yamaha,1
old,Mumbai,70k-90k,45,66,151112,KTM,0
old,Kolkata,70k-90k,58,87,124720,Honda,0
young,Hyderabad,90k-110k,68,70,123164,Hero,1
old,Chennai,70k-90k,78,106,117527,Royal Enfield,1
middle-aged,Bangalore,30k-50k,61,125,106672,Yamaha,1
young,Bangalore,70k-90k,36,66,75568,Bajaj,0
middle-aged,Kolkata,30k-50k,36,50,183876,Yamaha,0
middle-aged,Chennai,50k-70k,75,56,136244,Honda,0
middle-aged,Chennai,30k-50k,49,111,167637,Royal Enfield,0
old,Hyderabad,30k-50k,68,62,93892,KTM,0
old,Mumbai,70k-90k,70,111,102466,Bajaj,1
young,Chennai,70k-90k,58,87,124720,Honda,0
young,Hyderabad,70k-90k,62,115,51310,Kawasaki,0
old,Pune,50k-70k,75,103,176915,Bajaj,0
middle-aged,Kolkata,90k-110k,56,97,127629,Mahindra,0
young,Chennai,30k-50k,51,67,103052,Suzuki,0
old,Ahmedabad,90k-110k,60,66,60956,Yamaha,0
old,Ahmedabad,90k-110k,60,61,189800,Hero,1
old,Mumbai,50k-70k,78,98,65711,KTM,1
middle-aged,Bangalore,30k-50k,45,92,103624,Suzuki,1
old,Pune,30k-50k,51,77,189188,Hero,0
old,Chennai,50k-70k,47,107,131580,Hero,1
old,Kolkata,50k-70k,61,112,57731,Bajaj,0
old,Chennai,30k-50k,59,97,178365,Royal Enfield,1
young,Hyderabad,50k-70k,38,123,86531,Kawasaki,0
young,Delhi,70k-90k,68,105,130784,Suzuki,0
old,Ahmedabad,30k-50k,56,85,189006,Yamaha,0
middle-aged,Mumbai,90k-110k,35,94,95428,KTM,0
young,Bangalore,70k-90k,76,113,157909,TVS,1
old,Delhi,90k-110k,71,100,138120,Honda,0
young,Kolkata,50k-70k,78,90,151779,Yamaha,1
young,Chennai,90k-110k,70,120,78268,TVS,1
middle-aged,Mumbai,70k-90k,46,59,143596,Suzuki,1
old,Pune,50k-70k,59,77,102382,Bajaj,0
old,Hyderabad,70k-90k,63,68,100176,KTM,0
middle-aged,Hyderabad,50k-70k,64,71,100911,TVS,1
middle-aged,Chennai,30k-50k,69,77,60651,Mahindra,0
old,Ahmedabad,90k-110k,42,51,92888,Honda,1
old,Chennai,90k-110k,77,118,146364,Kawasaki,1
middle-aged,Chennai,30k-50k,48,104,75533,Suzuki,1
young,Pune,30k-50k,53,83,51961,Honda,1
young,Chennai,90k-110k,76,93,188735,Yamaha,0
middle-aged,Mumbai,30k-50k,62,71,91655,Suzuki,0
young,Pune,50k-70k,55,68,156148,Royal Enfield,1
middle-aged,Pune,90k-110k,64,78,153388,Suzuki,1
young,Ahmedabad,70k-90k,51,77,146566,Mahindra,1
young,Delhi,30k-50k,71,76,98639,Yamaha,0
old,Kolkata,50k-70k,76,125,168544,Bajaj,1
old,Pune,90k-110k,40,51,58779,Suzuki,0
young,Delhi,90k-110k,76,74,149514,Honda,0
young,Mumbai,50k-70k,45,120,129350,Kawasaki,1
old,Kolkata,30k-50k,76,70,127211,Bajaj,0
old,Pune,90k-110k,58,125,132887,Suzuki,0
old,Bangalore,30k-50k,76,59,173380,Bajaj,0
middle-aged,Delhi,50k-70k,72,83,62895,Honda,1
young,Mumbai,70k-90k,66,87,88194,Honda,0
old,Mumbai,50k-70k,44,73,105260,Honda,1
young,Mumbai,30k-50k,56,95,163304,Hero,1
middle-aged,Hyderabad,90k-110k,70,123,156260,Mahindra,1
middle-aged,Kolkata,30k-50k,48,82,169580,Yamaha,0
old,Ahmedabad,30k-50k,75,108,79135,Honda,0
middle-aged,Chennai,70k-90k,75,69,71197,Yamaha,1
young,Bangalore,90k-110k,66,97,68485,Bajaj,1
old,Kolkata,70k-90k,50,101,187115,TVS,1
young,Kolkata,70k-90k,63,50,131086,KTM,0
young,Ahmedabad,50k-70k,42,126,135549,Kawasaki,0
middle-aged,Ahmedabad,50k-70k,77,92,141003,Bajaj,1
middle-aged,Pune,90k-110k,57,116,69457,Mahindra,0
middle-aged,Hyderabad,70k-90k,45,100,163712,Suzuki,1
middle-aged,Delhi,70k-90k,58,64,139251,Suzuki,1
middle-aged,Bangalore,30k-50k,48,57,94755,Honda,0
old,Mumbai,30k-50k,39,104,70751,TVS,1
young,Kolkata,50k-70k,37,102,169942,Yamaha,1
young,Bangalore,70k-90k,38,117,150359,Kawasaki,1
young,Delhi,90k-110k,49,92,138415,Royal Enfield,1
young,Chennai,70k-90k,40,106,175401,Mahindra,0
middle-aged,Bangalore,50k-70k,67,54,63622,Suzuki,0
young,Hyderabad,90k-110k,36,51,157694,Honda,1
old,Hyderabad,70k-90k,64,123,182982,Bajaj,1
old,Mumbai,30k-50k,52,100,56780,Honda,0
young,Hyderabad,70k-90k,40,60,151967,Suzuki,0
young,Kolkata,50k-70k,38,98,198299,Royal Enfield,1
old,Chennai,50k-70k,69,103,121514,Yamaha,1
old,Ahmedabad,70k-90k,37,81,136254,Mahindra,1
middle-aged,Delhi,50k-70k,54,58,150748,Yamaha,1
old,Mumbai,30k-50k,63,106,119271,Suzuki,1
middle-aged,Ahmedabad,30k-50k,38,109,110354,Royal Enfield,0
middle-aged,Chennai,30k-50k,59,70,93434,Bajaj,0
middle-aged,Pune,70k-90k,78,57,179797,Suzuki,1
middle-aged,Pune,50k-70k,36,127,71909,Yamaha,1
middle-aged,Delhi,30k-50k,76,87,198169,TVS,1
young,Mumbai,90k-110k,45,125,81387,Yamaha,1
old,Hyderabad,50k-70k,67,110,66228,Royal Enfield,0
middle-aged,Kolkata,50k-70k,56,73,103025,KTM,0
old,Delhi,90k-110k,47,99,78381,TVS,0
old,Hyderabad,50k-70k,50,89,123569,Honda,1
middle-aged,Chennai,30k-50k,38,119,123468,Yamaha,0
young,Mumbai,50k-70k,55,70,48722,Honda,1
middle-aged,Pune,30k-50k,67,65,148320,KTM,1
young,Pune,30k-50k,40,106,139696,Yamaha,1
old,Bangalore,30k-50k,65,115,130038,KTM,0
young,Mumbai,70k-90k,57,105,131876,Suzuki,0
young,Chennai,50k-70k,66,55,199075,Hero,0
young,Chennai,90k-110k,42,87,187250,Mahindra,0
old,Bangalore,70k-90k,65,111,102876,TVS,1
old,Hyderabad,70k-90k,68,118,117643,Mahindra,1
young,Chennai,70k-90k,40,54,183324,Kawasaki,0
young,Hyderabad,70k-90k,54,120,63464,Mahindra,0
middle-aged,Hyderabad,30k-50k,49,116,80519,Bajaj,0
young,Mumbai,30k-50k,47,72,170545,TVS,0
middle-aged,Hyderabad,90k-110k,78,64,72477,Hero,1
young,Pune,50k-70k,48,95,178693,Kawasaki,0
middle-aged,Delhi,90k-110k,59,77,180213,Hero,0
old,Pune,50k-70k,70,102,92367,Mahindra,1
young,Hyderabad,30k-50k,41,65,100677,Honda,0
young,Ahmedabad,50k-70k,38,56,71818,Yamaha,0
young,Pune,50k-70k,42,110,182579,KTM,1
young,Mumbai,70k-90k,43,54,58274,Yamaha,1
middle-aged,Hyderabad,90k-110k,36,94,67086,Yamaha,0
young,Ahmedabad,70k-90k,43,125,121994,Kawasaki,0
old,Chennai,70k-90k,42,80,104848,Yamaha,1
old,Bangalore,70k-90k,55,76,138527,Mahindra,1
young,Bangalore,70k-90k,45,55,100888,Hero,1
old,Kolkata,30k-50k,62,91,137464,Kawasaki,0
young,Bangalore,90k-110k,73,81,122315,Honda,1
young,Bangalore,70k-90k,55,120,86679,Yamaha,0
old,Chennai,90k-110k,49,76,66784,Honda,0
young,Delhi,70k-90k,52,74,147235,Hero,1
old,Delhi,30k-50k,71,83,141885,Royal Enfield,0
middle-aged,Chennai,70k-90k,76,50,72810,Bajaj,1
young,Bangalore,50k-70k,41,112,79169,KTM,1
middle-aged,Mumbai,30k-50k,63,74,173626,Hero,0
old,Pune,90k-110k,60,50,184548,Hero,0
middle-aged,Hyderabad,50k-70k,38,94,77545,Mahindra,1
middle-aged,Pune,50k-70k,60,54,54974,TVS,0
old,Ahmedabad,30k-50k,43,95,93950,Bajaj,1
middle-aged,Delhi,90k-110k,67,80,137823,TVS,0
middle-aged,Ahmedabad,30k-50k,73,74,93582,Yamaha,0
old,Chennai,70k-90k,69,85,81381,Suzuki,0
middle-aged,Ahmedabad,30k-50k,69,53,178418,Honda,1
old,Mumbai,30k-50k,76,101,83373,Hero,1
middle-aged,Bangalore,70k-90k,66,72,61194,KTM,1
old,Chennai,70k-90k,70,63,64460,Mahindra,0
old,Ahmedabad,90k-110k,47,52,141247,Royal Enfield,1
middle-aged,Delhi,30k-50k,72,75,50475,Honda,0
middle-aged,Hyderabad,70k-90k,39,85,150833,Suzuki,0
middle-aged,Mumbai,90k-110k,54,64,45909,Mahindra,1
young,Mumbai,90k-110k,59,98,163107,Royal Enfield,0
young,Delhi,70k-90k,58,98,198195,Mahindra,0
young,Mumbai,70k-90k,35,61,133326,Hero,0
old,Pune,90k-110k,39,86,130158,TVS,1
middle-aged,Hyderabad,50k-70k,59,121,134570,KTM,0
old,Delhi,70k-90k,42,87,138348,Suzuki,1
young,Pune,50k-70k,64,125,160850,Honda,0
middle-aged,Chennai,90k-110k,55,71,76959,Mahindra,0
old,Kolkata,30k-50k,42,98,97915,KTM,1
middle-aged,Hyderabad,50k-70k,68,118,117643,Mahindra,0
old,Bangalore,50k-70k,62,90,119432,Suzuki,1
middle-aged,Chennai,50k-70k,61,121,55801,Honda,1
young,Pune,50k-70k,35,92,162211,Mahindra,0
young,Bangalore,50k-70k,48,61,196215,Mahindra,1
middle-aged,Bangalore,50k-70k,45,122,145164,Hero,0
old,Pune,30k-50k,36,106,141780,Honda,1
young,Pune,30k-50k,41,57,51903,Bajaj,0
young,Hyderabad,30k-50k,59,104,64002,TVS,0
young,Delhi,50k-70k,40,108,65604,KTM,1
middle-aged,Kolkata,90k-110k,48,119,127591,Kawasaki,1
middle-aged,Hyderabad,70k-90k,67,108,199384,Bajaj,1
old,Pune,50k-70k,49,51,81656,Bajaj,1
old,Bangalore,30k-50k,39,88,136403,Yamaha,0
old,Bangalore,90k-110k,47,108,153349,Mahindra,1
middle-aged,Chennai,90k-110k,53,66,175204,KTM,1
middle-aged,Kolkata,50k-70k,54,62,95644,TVS,0
old,Kolkata,30k-50k,60,110,62263,Royal Enfield,0
old,Ahmedabad,70k-90k,37,107,142408,KTM,0
middle-aged,Ahmedabad,70k-90k,75,114,84297,Honda,0
old,Bangalore,30k-50k,38,122,155451,TVS,1
young,Kolkata,30k-50k,37,81,168232,Royal Enfield,1
middle-aged,Chennai,90k-110k,73,101,185154,Honda,1
old,Delhi,50k-70k,62,55,46147,Honda,0
middle-aged,Bangalore,50k-70k,36,51,157694,Honda,1
young,Mumbai,50k-70k,75,64,184508,Hero,1
middle-aged,Bangalore,70k-90k,68,50,94227,Hero,0
middle-aged,Bangalore,70k-90k,45,94,100792,Bajaj,1
middle-aged,Delhi,70k-90k,52,61,92113,KTM,1
middle-aged,Pune,50k-70k,42,78,97517,Yamaha,1
young,Ahmedabad,30k-50k,35,123,194348,KTM,1
middle-aged,Pune,30k-50k,74,56,83767,Honda,1
middle-aged,Mumbai,50k-70k,49,68,181328,Honda,1
old,Ahmedabad,50k-70k,63,60,123915,TVS,0
middle-aged,Mumbai,30k-50k,73,82,160528,Royal Enfield,0
old,Mumbai,30k-50k,49,83,172921,Bajaj,1
young,Ahmedabad,70k-90k,60,91,185280,Royal Enfield,1
young,Pune,90k-110k,50,51,105394,Bajaj,0
young,Hyderabad,90k-110k,51,115,172792,Bajaj,1
young,Delhi,50k-70k,44,105,48655,Kawasaki,0
old,Kolkata,90k-110k,36,90,128363,Royal Enfield,0
middle-aged,Mumbai,90k-110k,77,89,122422,Suzuki,1
young,Ahmedabad,90k-110k,46,83,185522,KTM,0
middle-aged,Kolkata,70k-90k,69,69,179905,KTM,1
old,Chennai,70k-90k,64,57,44496,Honda,0
old,Ahmedabad,30k-50k,46,89,66419,Honda,0
old,Delhi,50k-70k,47,63,67762,Hero,0
young,Kolkata,90k-110k,67,66,153384,Royal Enfield,0
middle-aged,Pune,30k-50k,76,109,69104,Mahindra,1
middle-aged,Hyderabad,70k-90k,55,81,105750,Royal Enfield,1
middle-aged,Pune,90k-110k,54,89,102008,Bajaj,1
old,Mumbai,50k-70k,58,55,183909,KTM,0
young,Hyderabad,90k-110k,74,94,147579,Hero,1
old,Mumbai,70k-90k,58,112,147693,Kawasaki,1
old,Hyderabad,90k-110k,74,125,92075,Honda,0
middle-aged,Kolkata,90k-110k,62,51,150601,Honda,1
old,Pune,90k-110k,78,61,47832,Hero,1
middle-aged,Kolkata,90k-110k,70,88,137135,Bajaj,1
young,Chennai,70k-90k,36,122,138924,KTM,1
middle-aged,Ahmedabad,30k-50k,57,106,126212,Royal Enfield,0
young,Delhi,90k-110k,68,120,73655,Kawasaki,1
middle-aged,Pune,50k-70k,59,51,167014,Suzuki,1
old,Bangalore,90k-110k,47,63,67762,Hero,0
old,Pune,50k-70k,68,95,159400,Suzuki,0
young,Chennai,50k-70k,65,53,114199,Bajaj,0
young,Pune,90k-110k,71,114,195043,Kawasaki,0
young,Chennai,90k-110k,65,62,155316,TVS,1
middle-aged,Pune,50k-70k,39,84,186728,Bajaj,1
middle-aged,Chennai,70k-90k,45,111,114968,Kawasaki,1
young,Hyderabad,30k-50k,68,122,174334,TVS,1
old,Mumbai,50k-70k,51,100,190998,KTM,0
middle-aged,Kolkata,70k-90k,58,74,114382,Suzuki,1
middle-aged,Ahmedabad,30k-50k,66,61,58016,Honda,0
middle-aged,Pune,30k-50k,77,122,157855,Royal Enfield,0
young,Delhi,30k-50k,47,71,142560,TVS,1
young,Mumbai,90k-110k,69,77,79497,TVS,1
young,Chennai,90k-110k,46,104,127661,Yamaha,1
young,Delhi,50k-70k,71,58,50861,Mahindra,1
young,Mumbai,90k-110k,70,88,137135,Bajaj,1
old,Ahmedabad,70k-90k,36,83,142943,Suzuki,1
old,Bangalore,30k-50k,59,96,184749,Kawasaki,0
young,Pune,30k-50k,38,103,105715,Honda,1
middle-aged,Pune,30k-50k,39,69,58901,Mahindra,1
young,Chennai,90k-110k,73,81,122315,Honda,1
old,Mumbai,90k-110k,57,74,165399,TVS,1
